Unnamed: 0,video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,commentCount,subscriberCount,duration,definition,thumbnail-url,hue,saturation,lightness
0,4AnFmfH4aNY,The Daily Show,Dems Share Four-Letter Thoughts on Trump and Guns | The Daily Show,"['the daily show', 'trevor noah', 'daily show with trevor noah', 'the daily show episodes', 'comedy central', 'comedians', 'comedian', 'funny video', 'comedy videos', 'funny clips', 'noah trevor', 'trevor noah latest episode', 'daily show', 'trevor', 'news', 'politics', 'daily show trump', 'trevor noah trump', 'trump', 'el paso', 'dayton', 'gun control', 'second amendment', 'mass shooting', 'white supremacy', 'Joe Biden', 'Cory Booker', 'Beto O’Rourke', 'cussing', 'Democrats', 'gun violence', 'George Washington', 'assault weapons']",2019-08-08T01:48:49Z,1677500,26880.0,2331.0,,PT7M27S,hd,https://i.ytimg.com/vi/4AnFmfH4aNY/hqdefault.jpg,348.13031005859375,0.3339603543281555,0.2589205801486969
1,UIimvo3NAbM,Dry Bar Comedy,Kentucky Makes Every Product That Kills you. Mark Klein - Full Special,"['Clean Comedy', 'Dry Bar Comedy', 'Stand Up Comedy', 'Worlds Largest Library of Clean Comedy', 'Mark Klein', 'Mark Klein Dry Bar Comedy', 'Mark Klein Comedy', 'Mark Klein Comedian', 'Dry Comedy Bar', 'Dry COmedy Stand Up', 'Clean Stand Up', 'Clean Stand Up Comedy Clips', 'Clean Stand Up Comedy Routines', 'Clean Stand Up Comedy 2021', 'Clean Stand Up Comedy Full Show', 'Dry Bar Comedy Full Show', 'Kentucky', 'Baseball bat', 'Louisville', 'Bourbon', 'Sobriety', 'Kentucky Kills you', 'dbc', 'funny', 'comedy', 'life lessons', 'old age']",2021-08-05T23:45:00Z,1857734,43931.0,1528.0,,PT34M26S,hd,https://i.ytimg.com/vi/UIimvo3NAbM/hqdefault.jpg,231.05966186523438,0.5306742191314697,0.2356768548488617
2,hMac1AMrYwI,ТЕЛЕКАНАЛ “АЗИЯ” (Худжанд),Барномаи ГАП  #10.Часть I .,['Барномаи ГАП #10.Часть I .'],2016-10-30T17:44:28Z,37257,190.0,16.0,,PT27M19S,hd,https://i.ytimg.com/vi/hMac1AMrYwI/hqdefault.jpg,305.4621887207031,0.6756694316864014,0.2363670915365219
3,pb29jzOCONY,The Try Guys,The Try Guys Bake Pizza Without A Recipe,"['try guys', 'keith', 'ned', 'zach', 'eugene', 'habersberger', 'fulmer', 'kornfeld', 'yang', 'buzzfeedvideo', 'buzzfeed', 'ariel', 'ned & ariel', 'comedy', 'education', 'funny', 'try', 'learn', 'fail', 'experiment', 'test', 'tryceratops', 'Without a recipe', 'pizza', 'pizza from scratch', 'how to make pizza', 'how to cook pizza', 'bake pizza', 'fire oven', 'pizza recipe', 'new york pizza', 'pizza review', 'one bite pizza', 'pepperoni pizza', 'best pizza', 'pan pizza', 'homemade pizza', 'hand tossed pizza', 'pizza near me', 'spinach pizza', 'pizza peel', 'mukbang', 'vegan pizza']",2020-12-19T16:00:24Z,13777684,269929.0,12237.0,,PT39M40S,hd,https://i.ytimg.com/vi/pb29jzOCONY/hqdefault.jpg,261.13983154296875,0.3538767397403717,0.36979708075523376
4,3ZBykq5Oj1E,Phil Laude,ALMAN beim UNO | Phil Laude,"['alman', 'alman beim uno', 'alman und bratan', 'alman vs bratan', 'brettspiele', 'deniz', 'laude', 'phil laude', 'spieleabend', 'uno', 'uno regeln', 'uno spielen', 'uno uno', 'y-titty', 'ytitty', 'uno multiplayer', 'uno funny moments', 'uno gameplay', 'uno german', 'uno alman', 'lustig', 'phil laude alman', 'den1z', 'karten spielen', 'kartenspiel', 'karten']",2021-04-25T09:00:01Z,1966769,72817.0,922.0,,PT6M4S,hd,https://i.ytimg.com/vi/3ZBykq5Oj1E/hqdefault.jpg,330.5236511230469,0.2773287296295166,0.31869181990623474
5,nYvpYLUSU10,Team Coco,Conan Gets Rejected From Berghain | CONAN on TBS,"['Conan', 'Conan (TV Series)', ""Conan O'Brien"", 'TBS (TV Channel)', 'Team Coco', 'andy richter', 'best moments of conan', 'celebrity interviews', 'coco', 'comedy', 'comedy sketches', 'conan best', 'conan best moments', 'conan brien', 'conan classic', 'conan funniest moments', 'conan funny interviews', 'conan funny moments', 'conan obrien interview', 'conan obrien podcast', 'conan on tbs', 'conan remotes', 'funny', 'funny moments on conan', 'late night show', 'stand-up comedy', 'talk show', 'talk show hosts', 'tbs', 'top 10 conan']",2021-02-01T12:00:12Z,1181123,14231.0,707.0,,PT1M56S,hd,https://i.ytimg.com/vi/nYvpYLUSU10/hqdefault.jpg,134.68093872070312,0.2387220561504364,0.2682081162929535
6,JgImAdWDTuo,funki,Best #comedy scene of Raghav & Shakti in #danceplus  🥰 #shorts #raghavjuyal,"['viral', 'viral shorts', 'trending shorts', 'ytshorts', 'youtube shorts', 'amazing shorts', 'popular shorts', 'whatsApp status', 'love', 'sucess', 'motivation status', 'dance india dance', ""india's dance"", 'dance plus', 'dance+', 'raghav juyal', 'Raghav Juyal', 'Raghav Juyal Comedy', 'Dance Plus Comedy', 'comedy', 'funny', 'entertainment', 'shorts feed', 'youtube search', 'Raghav comedy', 'Raghav Shruti Comedy', 'Raghav Shruti Dance Plus', 'Remo Sir Dance Plus', 'Remo Sir Comedy', 'Dharmesh sir', 'Akshay kumar comedy', 'Raghav shakti comedy']",2024-12-23T05:20:00Z,503994,,15.0,,PT26S,hd,https://i.ytimg.com/vi/JgImAdWDTuo/hqdefault.jpg,320.31610107421875,0.5491976141929626,0.21293173730373383
7,D-mso4ayl3A,Юрий ВЕЛИКИЙ,Путин и его ДВИЖУХА 😁 [Пародия],"['Юрий Великий', 'Юрій Великий', 'Смех', 'Юмор', 'Пародия', 'Смешные пародии', 'Україна', 'Украина', 'Новости Украины', 'Новости россии', 'Россия Украина', 'Братья Шумахеры', 'Квартал 95', 'новости', 'новини', 'новости сегодня', 'последние новости', 'приколы', 'лучшие приколы', 'Юрий Великий пародии', 'Україна 2024', 'Приколы 2024', 'смешные приколы 2024', 'Путин', 'Сирия', 'Башар Асад', 'Алеппо', 'путин движуха', 'рэп', 'путин поет рэп', 'итоги года 2024', 'путин прямая линия', 'казантип', 'курская область сегодня', 'вопросы путину']",2024-12-23T16:00:12Z,495093,52950.0,2663.0,,PT6M40S,hd,https://i.ytimg.com/vi/D-mso4ayl3A/hqdefault.jpg,11.535757064819336,0.6776652932167053,0.3423885107040405
8,IGg-q4OlNaM,ТЕЛЕКАНАЛ “АЗИЯ” (Худжанд),Территория юмора.1-ый выпуск .Часть II.Tajik-show.,"['Территория юмора.1-ый выпуск .Часть II.Tajik-show.', '1-ый выпуск .Часть II.Tajik-show', 'Tajik-show', '.1-ый выпуск']",2016-07-27T10:29:51Z,44228,263.0,25.0,,PT20M12S,hd,https://i.ytimg.com/vi/IGg-q4OlNaM/hqdefault.jpg,299.83038330078125,0.4569101333618164,0.3395049571990967
9,forutNUAWBY,Michael McIntyre,How The British Deal With Snow,"['Michael McIntyre', 'Stand Up', 'Comedy', 'Roadshow', 'Funny', 'Best', 'Channel', 'YouTube', 'English', 'Live At The Apollo', 'Hello Wembley', 'Happy and Glorious', 'Christmas', 'Royal Variety', 'Comedy Roadshow', 'michael mcintyre stand up', 'michael', 'mcintyre', 'michael mcintyre funny', 'michael mcintyre jokes', 'british', 'michael McIntyre 2019', 'sent to all', 'Peter Andre', 'dani dyer', 'cheryl', 'Gino d’acampo', 'midnight gameshow', 'pilot', 'names', 'kids', 'dentist', 'wine', 'hotel', 'driving', 'glasses', 'accents', 'children']",2021-02-12T08:00:18Z,1374447,25098.0,624.0,,PT5M32S,hd,https://i.ytimg.com/vi/forutNUAWBY/hqdefault.jpg,343.4963684082031,0.4562903344631195,0.2610950171947479
